Carimbo de data/hora|ID|Turma|O tempo disponível para a prova foi suficiente?|Como você avalia o nível de dificuldade geral da prova?|"A possibilidade de deixar 2 questões sem fazer influenciou sua estratégia na prova?
"|Você revisou a prova antes de entregar?|Como você avalia o nível de dificuldade da prova?  |Você achou a prova coerente com o que foi visto em aula (exposição, materiais de aula, simulados)? |Qual tipo de questão foi mais difícil?|O que mais pode ter impactado no seu desempenho?|Qual nota você acha que tirou? (0 a 21 pontos)|Quantas horas você estudou especificamente para esta prova?|Você fez os simulados disponibilizados? [Simulado 01]|Você fez os simulados disponibilizados? [Simulado 02]|Você fez os simulados disponibilizados? [Simulado 03]|Quais materiais você usou para estudar? (pode marcar mais de um)|Como você se preparou, em termos de distribuição do estudo?|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Processo KDD e visão geral de Ciência de Dados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Tipos de dados e tipos de bases de dados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Qualidade de dados: valores ausentes, ruídos, artefatos, etc]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Agregação]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Amostragem]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Redução de dimensionalidade]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Seleção de atributos]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Criação de atributos]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Discretização e Binarização]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Transformação de variáveis]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade entre atributos simples]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Distâncias de Minkowski]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Coeficientes SMC e Jaccard para dados binarizados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade pelo cosseno]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade entre objetos de dados heterogêneos]|Em uma escala de 0 a 5, o quanto você se considera participativo nas aulas?|Quais aspectos das aulas contribuíram mais para seu aprendizado? (marque até 3)
4/14/2026 13:49:08|53500|Turma 2|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|5|Cálculo / métrica|Falta de estudo|12|5|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Não fiz|Slides das aulas, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|2|Exemplos práticos com código, Exercícios em aula, Explicação teórica dos conceitos
4/14/2026 14:28:41|66716|Turma 1|Sim, usei quase todo o tempo|Muito difícil|Sim, planejei estrategicamente quais deixar|Sim|4|3|Aplicação prática|Interpretação das questões|10|10 horas|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Slides das aulas, Livros texto, Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei ao longo da semana antes da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|2|Exercícios em aula, Simulados, Slides/material disponibilizado
4/14/2026 14:29:00|69636|Turma 1|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|4|4|Interpretação de código|Interpretação das questões|12|Cerca de 20 no total|Fiz tudo, sozinho(a)|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Slides das aulas, Livros texto, Simulados da disciplina, Resumos do livro|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|3|Simulados
4/15/2026 11:02:49|36924|Turma 1|Sim, sobrou tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|3|Interpretação de código|Falta de estudo|10|2|Fiz tudo, usando IA|Fiz parcialmente, sozinho(a)|Não fiz|Slides das aulas, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|2|Exercícios em aula, Slides/material disponibilizado, Discussões e perguntas durante a aula
4/15/2026 11:12:34|36116|Turma 1|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|4|Todas igualmente|Interpretação das questões|14|12|Fiz tudo, sozinho(a)|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Slides das aulas, Notas/caderno pessoal, Simulados da disciplina, Áudios das aulas, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|1|Explicação teórica dos conceitos, Slides/material disponibilizado
4/15/2026 11:27:14|36756|Turma 1|Sim, sobrou tempo|Difícil|Sim, planejei estrategicamente quais deixar|Sim|4|4|Cálculo / métrica|Dificuldade no conteúdo|16|8|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Slides das aulas, Notas/caderno pessoal, Livros texto, Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei ao longo da semana antes da prova|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Entendi apenas a teoria|1|Explicação teórica dos conceitos, Simulados, Slides/material disponibilizado
4/15/2026 11:35:41|8804|Turma 1|Sim, sobrou tempo|Difícil|"Sim, usei como ""segurança"", mas tentei todas"|Sim|4|3|Todas igualmente|Dificuldade no conteúdo|2|6h|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Livros texto, Simulados da disciplina|Estudei só na véspera ou no dia da prova|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|3|Exemplos práticos com código, Explicação teórica dos conceitos, Slides/material disponibilizado
4/15/2026 13:31:44|54508|Turma 2|Sim, usei quase todo o tempo|Difícil|"Sim, usei como ""segurança"", mas tentei todas"|Sim|4|5|Interpretação de código|Interpretação das questões|12|"Contando apenas os ""pré-prova"" que seria no fim de semana, umas 8 horas"|Fiz tudo, usando IA|Fiz tudo, usando IA|Fiz tudo, usando IA|Slides das aulas, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Não entendi bem|Não entendi bem|3|Exemplos práticos com código, Explicação teórica dos conceitos, Simulados
4/15/2026 14:11:26|32924|Turma 2|Sim, sobrou tempo|Fácil|"Sim, usei como ""segurança"", mas tentei todas"|Sim|2|5|Todas igualmente|Falta de estudo|16|poucas|Fiz tudo, sozinho(a)|Não fiz|Não fiz|Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei só na véspera ou no dia da prova|Não entendi bem|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|0|Simulados
4/15/2026 14:58:52|30476|Turma 2|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|5|Cálculo / métrica|Interpretação das questões|13.5|No período pré-prova, por volta de 5 horas.|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Slides das aulas, Notas/caderno pessoal, Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei ao longo da semana antes da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|3|Exercícios em aula, Explicação teórica dos conceitos, Simulados
4/15/2026 15:55:56|34692|Turma 2|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|5|Conceitual|Falta de estudo|18|5h|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Slides das aulas, Simulados da disciplina, Resumos do livro|Estudei só na véspera ou no dia da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|1|Exercícios em aula, Simulados, Slides/material disponibilizado
4/15/2026 17:09:53|41956|Turma 2|Sim, usei quase todo o tempo|Difícil|"Sim, usei como ""segurança"", mas tentei todas"|Sim|4|5|Aplicação prática|Dificuldade no conteúdo|15|6|Fiz tudo, sozinho(a)|Fiz tudo, usando IA|Fiz parcialmente, usando IA|Simulados da disciplina, Áudios das aulas, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei só na véspera ou no dia da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|1|Explicação teórica dos conceitos, Simulados
4/14/2026 10:19:40|36612|Turma 1|Sim, sobrou tempo|Adequado|Sim, planejei estrategicamente quais deixar|Não|3|5|Cálculo / métrica|Falta de estudo|10|4|Não fiz|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei só na véspera ou no dia da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Entendi com facilidade|Não entendi bem|3|Explicação teórica dos conceitos, Simulados, Discussões e perguntas durante a aula
